id,travel_time_s,events,stopping_reason,runout_m,seeder_index,seeder_x,seeder_y,seeder_z,seeder_type
145,11.845,78,Stopped,142.5,145,160001.89,3059074.881,2127.271,line
146,13.026,87,Stopped,155.503,146,160004.481,3059077.911,2127.477,line
147,11.185,79,Stopped,147.326,147,160006.311,3059080.052,2128.649,line
148,12.645,87,Stopped,150.522,148,160007.607,3059081.566,2129.558,line
149,13.095,88,Stopped,148.39,149,160008.27,3059082.341,2129.555,line
150,11.67,78,Stopped,137.789,150,160009.707,3059084.021,2127.728,line
151,12.433,84,Stopped,154.636,151,160011.585,3059086.218,2126.402,line
152,13.47,91,Stopped,150.075,152,160012.711,3059087.534,2128.917,line
153,3.35,25,Stopped,5.432,153,160015.723,3059091.056,2128.096,line
154,12.642,83,Stopped,149.538,154,160017.873,3059093.57,2127.705,line
155,12.547,87,Stopped,138.636,155,160018.863,3059094.728,2125.732,line
156,3.604,28,Stopped,5.526,156,160019.804,3059095.827,2125.934,line
157,13.384,89,Stopped,166.524,157,160019.819,3059095.868,2125.965,line
158,3.038,24,Stopped,5.034,158,160021.188,3059099.589,2126.61,line
159,14.041,94,Stopped,140.991,159,160022.485,3059103.117,2127.318,line
160,2.994,24,Stopped,5.38,160,160024.174,3059107.709,2126.765,line
161,11.497,78,Stopped,149.466,161,160024.605,3059108.881,2126.502,line
162,15.216,106,Stopped,179.301,162,160025.11,3059110.253,2127.204,line
163,13.915,94,Stopped,161.653,163,160025.687,3059111.822,2126.877,line
164,12.345,83,Stopped,132.039,164,160026.731,3059114.661,2126.391,line
165,13.773,95,Stopped,152.762,165,160028.383,3059119.151,2126.156,line
166,13.272,91,Stopped,162.378,166,160028.539,3059119.576,2126.05,line
167,12.914,86,Stopped,144.166,167,160028.627,3059119.814,2126.09,line
168,12.787,85,Stopped,149.817,168,160030.216,3059124.135,2125.957,line
169,13.73,95,Stopped,147.072,169,160032.003,3059128.994,2125.807,line
170,11.828,78,Stopped,144.771,170,160032.242,3059129.643,2125.938,line
171,15.835,105,Stopped,162.635,171,160033.949,3059134.284,2126.349,line
172,15.456,104,Stopped,182.27,172,160034.58,3059136.0,2126.541,line
173,14.01,94,Stopped,140.165,173,160034.632,3059136.14,2126.591,line
174,15.025,100,Stopped,183.166,174,160034.78,3059136.544,2127.631,line
175,13.311,96,Stopped,152.183,175,160035.961,3059139.755,2128.697,line
176,13.229,91,Stopped,153.084,176,160036.559,3059141.38,2128.607,line
177,11.701,79,Stopped,148.733,177,160037.498,3059143.934,2126.556,line
178,15.8,108,Stopped,163.178,178,160038.677,3059147.138,2126.756,line
179,12.121,80,Stopped,149.876,179,160039.076,3059148.223,2126.707,line
180,14.164,96,Stopped,165.275,180,160040.057,3059150.889,2127.999,line
181,13.907,93,Stopped,146.826,181,160040.238,3059151.382,2127.902,line
182,13.115,89,Stopped,141.171,182,160040.278,3059151.49,2128.189,line
183,12.371,83,Stopped,147.98,183,160041.72,3059155.412,2128.51,line
184,11.274,75,Stopped,148.001,184,160042.615,3059157.846,2129.735,line
185,13.648,93,Stopped,149.868,185,160043.492,3059160.23,2129.801,line
186,13.44,89,Stopped,144.56,186,160044.167,3059162.065,2128.779,line
187,12.103,82,Stopped,149.457,0,160067.008,3058765.402,2124.319,point
188,13.649,91,Stopped,138.387,0,160366.0,3059160.0,2099.0,point
189,13.133,91,Stopped,146.191,1,160065.407,3058767.088,2122.357,point
190,16.338,114,Stopped,154.591,2,160064.923,3058767.598,2122.442,point
191,23.462,158,Stopped,145.855,3,160063.429,3058769.172,2123.419,point
192,14.572,97,Stopped,149.367,4,160061.94,3058770.741,2126.96,point
193,17.659,117,Stopped,147.096,5,160061.696,3058770.998,2127.068,point
194,13.589,90,Stopped,153.711,6,160060.733,3058772.013,2127.21,point
195,14.96,98,Stopped,146.6,7,160059.951,3058772.837,2127.223,point
196,14.715,99,Stopped,165.881,8,160058.168,3058774.715,2127.157,point
197,11.826,80,Stopped,152.036,9,160056.526,3058776.445,2126.94,point
198,12.185,83,Stopped,153.152,10,160055.964,3058777.036,2127.726,point
199,11.983,80,Stopped,144.61,11,160054.188,3058778.908,2128.193,point
200,12.999,92,Stopped,70.504,12,160053.277,3058779.868,2129.173,point
201,10.903,78,Stopped,73.398,13,160052.704,3058780.471,2129.212,point
202,16.885,116,Stopped,125.829,14,160051.937,3058781.279,2128.447,point
203,11.762,85,Stopped,66.931,15,160048.265,3058785.148,2126.787,point
204,11.892,80,Stopped,123.142,16,160047.042,3058786.436,2126.661,point
205,11.301,77,Stopped,71.094,17,160045.721,3058787.829,2127.494,point
206,11.937,80,Stopped,119.423,18,160045.32,3058788.251,2128.293,point
207,12.01,81,Stopped,125.056,19,160040.518,3058793.31,2128.643,point
208,13.196,90,Stopped,68.569,20,160038.904,3058795.011,2128.482,point
209,12.575,85,Stopped,70.299,21,160038.575,3058795.357,2128.532,point
210,11.882,82,Stopped,128.589,22,160035.366,3058798.738,2129.293,point
211,15.327,106,Stopped,130.817,23,160033.479,3058800.726,2129.559,point
212,12.773,87,Stopped,136.538,24,160032.07,3058802.211,2129.525,point
213,16.817,112,Stopped,129.156,25,160030.632,3058803.726,2129.491,point
214,19.506,127,Stopped,115.185,26,160028.817,3058805.638,2130.007,point
215,12.11,82,Stopped,68.633,27,160027.256,3058807.283,2129.862,point
216,12.902,88,Stopped,68.391,28,160022.194,3058812.616,2128.676,point
217,17.511,120,Stopped,130.044,29,160021.189,3058813.675,2127.947,point
218,12.576,85,Stopped,124.889,30,160021.011,3058813.862,2127.953,point
219,15.492,104,Stopped,73.134,31,160020.761,3058814.126,2128.378,point
